# Метеостанция Архангельск, Россия, WMO_ID=22550, выборка с 01.01.2019 по 31.12.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=22550&lang=ru
#
"Местное время в Архангельске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.09.2019 09:00";"5.0";"746.6";"747.4";"-0.8";"95";"Ветер, дующий с юго-востока";"3";"";"";"100%.";"Дымка. ";"Облака покрывали более половины неба в течение всего соответствующего периода.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"5.0";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"4.0";"4.2";"";"";"";"";"";"";
"30.09.2019 06:00";"5.2";"747.4";"748.2";"-1.1";"84";"Ветер, дующий с юго-востока";"3";"";"";"100%.";" ";"";"";"5.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"21.0";"2.7";"Осадков нет";"12";"";"";"";"";
"30.09.2019 03:00";"6.1";"748.5";"749.2";"-1.0";"78";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"2.5";"";"";"";"";"";"";
"30.09.2019 00:00";"7.0";"749.5";"750.1";"-0.9";"74";"Ветер, дующий с востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"25.0";"2.6";"";"";"";"";"";"";
"29.09.2019 21:00";"7.9";"750.4";"751.2";"-1.1";"73";"Ветер, дующий с юга";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"23.0";"3.3";"";"";"";"";"";"";
"29.09.2019 18:00";"8.2";"751.5";"752.2";"-0.9";"72";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";" ";"";"";"";"10.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"3.4";"Осадков нет";"12";"";"";"";"";
"29.09.2019 15:00";"9.7";"752.4";"753.1";"-0.8";"67";"Ветер, дующий с юго-юго-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"3.8";"";"";"";"";"";"";
"29.09.2019 12:00";"8.5";"753.2";"754.0";"-0.8";"83";"Ветер, дующий с юго-юго-запада";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"300-600";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"5.7";"";"";"";"";"";"";
"29.09.2019 09:00";"5.1";"754.0";"754.7";"-0.9";"98";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"100-200";"";"";"10.0";"4.8";"";"";"";"";"";"";
"29.09.2019 06:00";"3.6";"754.9";"755.6";"-0.6";"98";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";" ";"";"";"3.4";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"200-300";"";"";"21.0";"3.3";"Осадков нет";"12";"";"";"";"";
"29.09.2019 03:00";"4.3";"755.5";"756.3";"-0.6";"95";"Ветер, дующий с юго-запада";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"20.0";"3.5";"";"";"";"";"";"";
"29.09.2019 00:00";"5.3";"756.1";"756.9";"-0.6";"88";"Ветер, дующий с юго-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"26.0";"3.4";"";"";"";"";"";"";
"28.09.2019 21:00";"5.8";"756.7";"757.4";"-1.1";"84";"Ветер, дующий с юго-юго-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"25.0";"3.2";"";"";"";"";"";"";
"28.09.2019 18:00";"7.7";"757.8";"758.5";"-0.3";"74";"Ветер, дующий с западо-юго-запада";"3";"";"";"100%.";" ";"";"";"";"9.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"3.4";"Осадков нет";"12";"";"";"";"";
"28.09.2019 15:00";"9.5";"758.1";"758.8";"-0.5";"71";"Ветер, дующий с западо-юго-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.5";"";"";"";"";"";"";
"28.09.2019 12:00";"8.0";"758.6";"759.4";"-0.5";"78";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"4.4";"";"";"";"";"";"";
"28.09.2019 09:00";"4.5";"759.1";"759.9";"-0.8";"83";"Ветер, дующий с западо-юго-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.9";"";"";"";"";"";"";
"28.09.2019 06:00";"3.4";"759.9";"760.6";"-0.4";"82";"Ветер, дующий с западо-юго-запада";"2";"";"";"100%.";" ";"";"";"1.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"0.5";"Осадков нет";"12";"";"";"";"";
"28.09.2019 03:00";"3.7";"760.3";"761.1";"-0.1";"87";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"20.0";"1.7";"";"";"";"";"";"";
"28.09.2019 00:00";"3.9";"760.4";"761.2";"0.1";"93";"Ветер, дующий с запада";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"23.0";"2.8";"";"";"";"";"";"";
"27.09.2019 21:00";"1.9";"760.3";"761.0";"0.6";"97";"Ветер, дующий с северо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"25.0";"1.4";"";"";"";"";"";"";
"27.09.2019 18:00";"4.8";"759.7";"760.4";"0.4";"82";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"7.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"2.0";"Осадков нет";"12";"";"";"";"";
"27.09.2019 15:00";"6.8";"759.3";"760.0";"0.6";"65";"Ветер, дующий с северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";"10.0";"0.5";"";"";"";"";"";"";
"27.09.2019 12:00";"6.9";"758.7";"759.4";"0.6";"71";"Ветер, дующий с северо-северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.0";"";"";"";"";"";"";
"27.09.2019 09:00";"4.9";"758.1";"758.8";"0.6";"84";"Ветер, дующий с северо-северо-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"2.4";"";"";"";"";"";"";
"27.09.2019 06:00";"3.5";"757.5";"758.2";"0.2";"91";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";" ";"";"";"2.2";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"24.0";"2.2";"Осадков нет";"12";"";"";"";"";
"27.09.2019 03:00";"3.4";"757.3";"758.1";"0.3";"89";"Ветер, дующий с северо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"18.0";"1.7";"";"";"";"";"";"";
"27.09.2019 00:00";"3.8";"757.0";"757.7";"0.3";"89";"Ветер, дующий с северо-северо-запада";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"2.2";"";"";"";"";"";"";
"26.09.2019 21:00";"3.3";"756.7";"757.5";"0.4";"87";"Ветер, дующий с северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"23.0";"1.3";"";"";"";"";"";"";
"26.09.2019 18:00";"5.9";"756.3";"757.0";"0.3";"78";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"7.4";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"10.0";"2.4";"Осадков нет";"12";"";"";"";"";
"26.09.2019 15:00";"6.7";"756.0";"756.7";"1.1";"72";"Ветер, дующий с северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.9";"";"";"";"";"";"";
"26.09.2019 12:00";"7.1";"754.9";"755.6";"1.1";"69";"Ветер, дующий с северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.7";"";"";"";"";"";"";
"26.09.2019 09:00";"4.1";"753.8";"754.6";"1.4";"91";"Ветер, дующий с севера";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"2.8";"";"";"";"";"";"";
"26.09.2019 06:00";"3.4";"752.4";"753.1";"0.7";"97";"Ветер, дующий с северо-северо-запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"3.4";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"23.0";"3.0";"5.0";"12";"";"";"";"";
"26.09.2019 03:00";"3.8";"751.7";"752.5";"-0.5";"96";"Ветер, дующий с запада";"3";"";"10";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"3.2";"";"";"";"";"";"";
"26.09.2019 00:00";"4.2";"752.2";"752.9";"-1.3";"91";"Ветер, дующий с запада";"4";"";"11";"100%.";"Дождь незамерзающий непрерывный слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"12.0";"2.8";"";"";"";"";"";"";
"25.09.2019 21:00";"5.1";"753.5";"754.3";"-1.4";"86";"Ветер, дующий с западо-юго-запада";"4";"";"10";"90  или более, но не 100%";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"21.0";"3.0";"";"";"";"";"";"";
"25.09.2019 18:00";"5.7";"754.9";"755.6";"-1.0";"87";"Ветер, дующий с запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"7.3";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"3.6";"6.0";"12";"";"";"";"";
"25.09.2019 15:00";"6.3";"755.9";"756.6";"-0.2";"84";"Ветер, дующий с запада";"3";"";"11";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"10.0";"3.8";"";"";"";"";"";"";
"25.09.2019 12:00";"5.5";"756.1";"756.8";"0.3";"93";"Ветер, дующий с западо-северо-запада";"3";"";"10";"100%.";"Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"2.0";"4.5";"";"";"";"";"";"";
"25.09.2019 09:00";"4.7";"755.8";"756.5";"0.0";"95";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"4.0";"4.0";"";"";"";"";"";"";
"25.09.2019 06:00";"2.9";"755.8";"756.5";"-0.2";"94";"Ветер, дующий с запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"0.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"2.0";"0.5";"12";"";"";"";"";
"25.09.2019 03:00";"1.9";"756.0";"756.7";"0.0";"93";"Ветер, дующий с западо-юго-запада";"1";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевые, образовавшиеся из кучевых.";"40%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"26.0";"0.8";"";"";"";"";"";"";
"25.09.2019 00:00";"2.5";"756.0";"756.7";"0.1";"88";"Ветер, дующий с северо-запада";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"24.0";"0.7";"";"";"";"";"";"";
"24.09.2019 21:00";"4.0";"755.9";"756.7";"-0.1";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистых, перисто-кучевых или перисто-слоистых нет.";"21.0";"1.1";"";"";"";"";"";"";
"24.09.2019 18:00";"5.3";"756.0";"756.7";"0.5";"76";"Ветер, дующий с северо-запада";"3";"";"10";"90  или более, но не 100%";" ";"";"";"";"6.1";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.4";"Следы осадков";"12";"";"";"";"";
"24.09.2019 15:00";"5.6";"755.5";"756.3";"0.5";"82";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"2.8";"";"";"";"";"";"";
"24.09.2019 12:00";"5.5";"755.0";"755.8";"0.5";"77";"Ветер, дующий с северо-северо-запада";"4";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.7";"";"";"";"";"";"";
"24.09.2019 09:00";"4.4";"754.5";"755.2";"0.1";"82";"Ветер, дующий с северо-северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"1.5";"";"";"";"";"";"";
"24.09.2019 06:00";"3.4";"754.4";"755.2";"-0.2";"82";"Ветер, дующий с северо-запада";"3";"";"";"100%.";" ";"";"";"2.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"0.6";"Осадков нет";"12";"";"";"";"";
"24.09.2019 03:00";"3.9";"754.6";"755.3";"0.0";"78";"Ветер, дующий с северо-северо-запада";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"24.0";"0.4";"";"";"";"";"";"";
"24.09.2019 00:00";"3.6";"754.6";"755.4";"0.0";"83";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"26.0";"0.9";"";"";"";"";"";"";
"23.09.2019 21:00";"3.5";"754.6";"755.4";"0.0";"88";"Ветер, дующий с северо-северо-запада";"3";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"23.0";"1.6";"";"";"";"";"";"";
"23.09.2019 18:00";"5.1";"754.6";"755.3";"0.3";"85";"Ветер, дующий с северо-северо-запада";"4";"";"10";"100%.";" ";"";"";"";"6.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"";"10.0";"2.7";"2.0";"12";"";"";"";"";
"23.09.2019 15:00";"5.8";"754.3";"755.0";"0.4";"85";"Ветер, дующий с северо-северо-запада";"5";"11";"11";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"3.4";"";"";"";"";"";"";
"23.09.2019 12:00";"5.2";"753.9";"754.6";"0.6";"88";"Ветер, дующий с северо-северо-запада";"4";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высокослоистые просвечивающие.";"";"10.0";"3.3";"";"";"";"";"";"";
"23.09.2019 09:00";"4.7";"753.3";"754.0";"1.1";"86";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"2.3";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перисто-слоистые, покрывающие все небо.";"10.0";"2.6";"";"";"";"";"";"";
"23.09.2019 06:00";"2.7";"752.2";"753.0";"0.9";"91";"Ветер, дующий с севера";"2";"";"";"90  или более, но не 100%";" ";"";"";"2.7";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"60%.";"300-600";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"1.4";"1.0";"12";"";"";"";"";
"23.09.2019 03:00";"3.7";"751.3";"752.1";"0.0";"89";"Ветер, дующий с северо-северо-запада";"4";"";"11";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"17.0";"2.1";"";"";"";"";"";"";
"23.09.2019 00:00";"3.7";"751.3";"752.1";"-0.6";"88";"Ветер, дующий с северо-северо-запада";"5";"10";"10";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"12.0";"1.9";"";"";"";"";"";"";
"22.09.2019 21:00";"3.5";"751.9";"752.7";"-0.3";"95";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"19.0";"2.7";"";"";"";"";"";"";
"22.09.2019 18:00";"4.5";"752.2";"752.9";"0.7";"82";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";" ";"";"";"";"5.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"1.7";"Следы осадков";"12";"";"";"";"";
